Observation Date,Retail Sales Volume,Retail Price,ACV Distribution,Competition,EDLP,Trade Any Promo,TV,Print,Online Display,Pre-roll Video,Paid Search,Public Relations,FSI,Digital Coupon,Shopper Marketing
8/19/2016,3163639.612,5.310019129,68.45653646,2907979.814,82.75,95,80,1.25,13445720,483030,612357,18.42511097,15000000,48000,58038.89583
8/26/2016,3221386.995,5.328426698,68.26173942,2874117.918,85.58,95.8,80,1.25,13601539,465684,220084,18.42511097,15000000,45000,58038.89583
9/2/2016,3434107.513,5.321708385,67.86288465,2737867.857,84.255,88.4,80,1.25,11633116,369093,108806,18.42511097,15000000,44000,58038.89583
9/9/2016,3467681.158,5.331551965,68.0911787,2835537.724,84.09,76.9,70,1.25,11598720,185185,301449,10.198756,0,0,54183.64583
9/16/2016,3323918.739,5.297546266,67.42537384,2789210.712,68.94,63.7,0,1.25,17915635,166437,623936,4.028989767,0,50000,54183.64583
9/23/2016,3421737.821,5.31426202,67.49670182,2824053.506,82.07,63.2,70,1.25,22222634,168224,971129,4.028989767,0,65000,54183.64583
9/30/2016,3592782.608,5.300277862,67.9558587,2741217.689,85.825,68.8,70,1.25,25080301,158937,1211581,4.028989767,0,25000,54183.64583
10/7/2016,3849600.233,5.295250306,68.30736013,2643737.598,80.44,52.3,0,0,19624955,152514,1264565,3.577447478,0,20000,78220.91669
10/14/2016,3995972.488,5.315721441,68.2508737,2618555.787,79.4,47.7,0,0,14589273,141710,831491,2.448591758,0,0,78220.91669
10/21/2016,3734706.056,5.322551633,68.21340887,2597602.271,61.615,35.7,0,0,18940294,132542,743886,2.448591758,0,0,78220.91669
10/28/2016,3592902.301,5.28685751,68.37355819,2615411.327,49.08,30.8,0,0,18166140,123016,724009,2.448591758,0,0,78220.91669
11/4/2016,3560089.754,5.318911663,68.31755633,2727301.836,93.62,48.3,0,0,15952784,202685,881329,2.448591758,0,0,78220.91669
11/11/2016,3648627.742,5.337668816,69.00373755,2683270.426,90.86,44,0,0,21820908,131773,1080051,0.372509323,0,8000,97776.14581
11/18/2016,3950025.73,5.35242815,68.8383155,2448403.165,85.195,37.8,0,0,17253799,105272,1055990,0.026495583,0,0,97776.14581
11/25/2016,3985145.704,5.352906484,69.29568425,2469885.481,88.435,40.6,0,0,26004756,94204,1069392,0.026495583,0,0,97776.14581
12/2/2016,3470846.453,5.370700938,68.98714214,2440763.291,41.83,14.1,0,0,25603532,66620,953671,0.026495583,0,0,97776.14581
12/9/2016,3874778.638,5.345445459,69.71200523,2609628.266,90.625,42.1,0,0,14679219,77015,1053753,0.033014734,0,0,97776.14581
12/16/2016,3893095.19,5.340944141,70.0324279,2563003.349,88.515,40.9,0,0,14252061,74768,1155094,0.037904097,0,0,97776.14581
12/23/2016,3998071.005,5.343301801,70.75341446,2666021.387,85.67,50,0,0,12708980,65860,1135523,0.037904097,0,0,97776.14581
12/30/2016,3149610.391,5.363022558,70.26793493,2629423.961,23.415,15.1,0,0,10115415,49394,1214021,0.037904097,0,0,97776.14581
1/6/2017,3455497.938,5.365055318,70.38711933,2646508.691,12.025,11.8,0,0,2060320,51381,1338443,0.115091871,0,0,46454.21667
1/13/2017,3283568.303,5.375061002,70.26518192,2802442.72,60.55,87.1,0,0,195215,77958,1152473,0.578218516,0,0,46454.21667
1/20/2017,3205356.027,5.371385805,70.18003043,2827675.902,85.9,97,0,0,522999,77858,749335,0.578218516,0,0,46454.21667
1/27/2017,2804544.943,5.381013032,69.95036464,2835398.056,1.14,2.1,0,0,528298,79450,649668,0.578218516,0,0,46454.21667
2/3/2017,2921961.432,5.352632882,69.34128797,2873774.117,84.215,96,0,0,215516,77488,759379,0.578218516,0,0,46454.21667
2/10/2017,3079841.029,5.350814212,69.06571995,2834952.858,82.125,97,0,0,248971,74595,778646,0.822107187,0,0,58067.77083
2/17/2017,3093059.667,5.322957032,68.71540995,2822528.591,82.675,92.5,0,0,212980,69601,624569,0.919662655,0,0,58067.77083
2/24/2017,3154803.802,5.298819404,68.11999552,2826217.212,76.78,70,0,0.333333333,275040,71206,725775,0.919662655,0,24000,58067.77083
3/3/2017,3251239.618,5.28888322,67.68274599,2600770.252,81.085,72.6,0,0.333333333,645862,81592,1060227,0.919662655,0,2000,58067.77083
3/10/2017,3203317.858,5.300077779,67.65803693,2733642.523,77.97,69.7,70,0.333333333,448584,123548,1761502,0.441417009,0,0,58067.77083
3/17/2017,3123437.086,5.333013556,67.36391399,2762679.385,74.34,70.8,65,0.333333333,316033,140234,1947817,0.082732774,0,50000,58067.77083
3/24/2017,2935350.662,5.343269966,67.47014324,2735961.643,68.265,64.1,65,0.333333333,298404,212875,2028212,0.082732774,0,0,58067.77083
3/31/2017,3010519.403,5.337778609,67.60622783,2637222.465,50.44,46.7,0,0.333333333,1881715,90901,1409307,0.082732774,0,0,58067.77083
